ID,numax,delta_nu,e_delta_nu,epsilon,e_epsilon,alpha,e_alpha,D,e_D,delta_Pi,e_delta_Pi,q,e_q,epsilon_g,e_epsilon_g,f_shift,e_f_shift,Omega_g,e_Omega_g,Omega_p,e_Omega_p,Teff,e_Teff,Lum,e_Lum,Fe/H,e_Fe/H,mass,e_mass,radius,e_radius,inclination,e_inclination,linewidth0,e_linewidth0,age,e_age,ruwe
KIC7418687,183.62742,15.082463,0.022683,0.346026,0.019208,-0.000201,0.002303,0.351315,0.008115,85.908876,0.110749,0.172577,0.002903,0.351983,0.084819,0.740103,0.035599,3.162042,0.130644,0.041791,0.132767,4949,79.75,1.12,0.2335,-0.124,-0.003,1.12,0.07,4.5,0.11,85.345845,2.686851,0.049046,0.007353,9999,9999,1.034968
KIC7423252,213.65,16.63989,0.011148,0.382846,0.009162,0.001545,0.000683,0.373369,0.005776,88.791411,0.014921,0.166978,0.001115,0.259972,0.00912,0.690921,0.016139,6.486953,0.046681,0.047194,0.071261,4811.1,80.65,0.928,0.0225,-0.018,0.0125,1.16,0.07,4.23,0.1,51.451193,1.442942,0.053417,0.003926,9999,9999,1.033428
KIC7428019,105.541955,9.209798,0.007849,0.140877,0.009924,0.006173,0.001093,0.201352,0.005234,73.743702,0.015525,0.127257,0.003324,0.225135,0.025974,0.576324,0.019152,2.749458,0.024599,0.049779,0.073073,4784.4,84.4,1.329,0.1965,-0.073,-0.0185,1.5,0.09,6.89,0.15,82.266152,1.789098,0.07878,0.005999,5.67,0.841,0.961891
KIC7429722,93.034153,8.594377,0.008923,0.101125,0.011245,0.012497,0.000795,0.207265,0.005147,75.142103,0.025522,0.119048,0.00601,0.286766,0.045526,0.48215,0.021165,9999,9999,9999,9999,4644.5,85.85,1.247,0.2525,0.097,0.014,1.09,0.06,6.38,0.13,9999,9999,9999,9999,9999,9999,0.943722
KIC7430666,126.675505,10.814195,0.009339,0.173938,0.010146,0.007268,0.000886,0.231762,0.004929,78.604624,0.015459,0.137066,0.002434,0.216787,0.019059,0.631228,0.019961,4.97204,0.03306,-0.038033,0.074167,4758.5,85.6,1.165,0.126,-0.007,0.0095,1.15,0.06,5.55,0.1,86.487714,1.317865,0.054349,0.005533,9999,9999,0.953861
KIC7431712,83.523299,7.573312,0.009635,0.095988,0.013493,0.006071,0.000954,0.167887,0.005335,69.554356,0.02017,0.123475,0.005094,0.184873,0.049567,0.548058,0.022325,3.306705,0.032294,0.038355,0.09172,4917.2,76.65,1.513,0.503,-0.364,0.0185,1.68,0.1,8.17,0.18,41.54426,2.178344,0.050352,0.009113,9999,9999,1.087572
KIC7432909,172.425234,13.935743,0.006929,0.275565,0.006513,0.003745,0.000572,0.304494,0.004322,84.764006,0.019203,0.142943,0.001363,0.273179,0.015787,0.756109,0.018822,7.088617,0.044683,0.099744,0.066418,4916,77.95,1.102,0.0415,-0.025,-0.015,1.21,0.07,4.82,0.1,38.167198,1.347817,0.063378,0.005515,8.661,1.832,1.108235
KIC7433870,113.001643,10.191994,0.008774,0.143689,0.00966,0.012141,0.000731,0.247025,0.004752,78.278111,0.019924,0.133812,0.00313,0.270057,0.02872,0.619201,0.018415,5.906695,0.034225,0.13081,0.076555,4766.8,81.3,1.187,0.1645,-0.182,-0.0105,1.18,0.07,5.92,0.13,74.787208,2.543757,0.042267,0.008951,13.835,1.7515,1.021246
KIC7439601,225.08,16.302524,0.009329,0.337595,0.008226,0.001615,0.000509,0.340168,0.004837,93.773441,0.019866,0.164588,0.001697,0.263194,0.010183,0.636453,0.02095,9999,9999,9999,9999,4956.6,80.95,1.076,0.017,-0.074,-0.02,1.42,0.07,4.6,0.09,9999,9999,9999,9999,3.322,0.54,2.347241
KIC7439931,242.26,17.256699,0.011036,0.385347,0.009018,-0.00004,0.000542,0.333485,0.004954,85.232338,0.018862,0.148192,0.00098,0.248148,0.011046,0.705706,0.019262,2.935023,0.086432,0.139915,0.112615,4977.4,77.65,1.028,0.0095,-0.118,-0.0035,1.38,0.07,4.36,0.09,33.91948,2.707468,0.054684,0.00522,5.009,0.381,0.803833
